session_id,timestamp,screen_time_minutes,break_suggested
1.0,2025-01-01 10:00:00,0,0
1.0,2025-01-01 10:00:10,1,0
1.0,2025-01-01 10:00:20,2,0
1.0,2025-01-01 10:00:30,3,0
1.0,2025-01-01 10:00:40,4,1
1.0,2025-01-01 10:00:50,5,1
1.0,2025-01-01 10:01:00,6,0
1.0,2025-01-01 10:01:10,7,0
1.0,2025-01-01 10:01:20,8,0
1.0,2025-01-01 10:01:30,9,0
1.0,2025-01-01 10:01:40,10,1
1.0,2025-01-01 10:01:50,11,0
1.0,2025-01-01 10:02:00,12,0
1.0,2025-01-01 10:02:10,13,0
1.0,2025-01-01 10:02:20,14,1
1.0,2025-01-01 10:02:30,15,1
1.0,2025-01-01 10:02:40,16,1
1.0,2025-01-01 10:02:50,17,1
1.0,2025-01-01 10:03:00,18,1
1.0,2025-01-01 10:03:10,19,1
1.0,2025-01-01 10:03:20,20,1
1.0,2025-01-01 10:03:30,21,0
1.0,2025-01-01 10:03:40,22,0
1.0,2025-01-01 10:03:50,23,0
1.0,2025-01-01 10:04:00,24,0
1.0,2025-01-01 10:04:10,25,0
1.0,2025-01-01 10:04:20,26,0
1.0,2025-01-01 10:04:30,27,0
1.0,2025-01-01 10:04:40,28,1
1.0,2025-01-01 10:04:50,29,0
1.0,2025-01-01 10:05:00,30,1
1.0,2025-01-01 10:05:10,31,0
1.0,2025-01-01 10:05:20,32,0
1.0,2025-01-01 10:05:30,33,0
1.0,2025-01-01 10:05:40,34,1
1.0,2025-01-01 10:05:50,35,1
1.0,2025-01-01 10:06:00,36,0
1.0,2025-01-01 10:06:10,37,0
1.0,2025-01-01 10:06:20,38,0
1.0,2025-01-01 10:06:30,39,1
1.0,2025-01-01 10:06:40,40,0
1.0,2025-01-01 10:06:50,41,0
1.0,2025-01-01 10:07:00,42,0
1.0,2025-01-01 10:07:10,43,0
1.0,2025-01-01 10:07:20,44,1
1.0,2025-01-01 10:07:30,45,0
1.0,2025-01-01 10:07:40,46,0
1.0,2025-01-01 10:07:50,47,0
1.0,2025-01-01 10:08:00,48,0
1.0,2025-01-01 10:08:10,49,1
1.0,2025-01-01 10:08:20,50,1
1.0,2025-01-01 10:08:30,51,0
1.0,2025-01-01 10:08:40,52,0
1.0,2025-01-01 10:08:50,53,0
1.0,2025-01-01 10:09:00,54,0
1.0,2025-01-01 10:09:10,55,0
1.0,2025-01-01 10:09:20,56,1
1.0,2025-01-01 10:09:30,57,0
1.0,2025-01-01 10:09:40,58,1
1.0,2025-01-01 10:09:50,59,0
1.0,2025-01-01 10:10:00,60,0
1.0,2025-01-01 10:10:10,61,0
1.0,2025-01-01 10:10:20,62,0
1.0,2025-01-01 10:10:30,63,1
1.0,2025-01-01 10:10:40,64,1
1.0,2025-01-01 10:10:50,65,0
1.0,2025-01-01 10:11:00,66,1
1.0,2025-01-01 10:11:10,67,0
1.0,2025-01-01 10:11:20,68,0
1.0,2025-01-01 10:11:30,69,0
1.0,2025-01-01 10:11:40,70,0
1.0,2025-01-01 10:11:50,71,1
1.0,2025-01-01 10:12:00,72,0
1.0,2025-01-01 10:12:10,73,0
1.0,2025-01-01 10:12:20,74,0
1.0,2025-01-01 10:12:30,75,0
1.0,2025-01-01 10:12:40,76,0
1.0,2025-01-01 10:12:50,77,0
1.0,2025-01-01 10:13:00,78,0
1.0,2025-01-01 10:13:10,79,1
1.0,2025-01-01 10:13:20,80,0
1.0,2025-01-01 10:13:30,81,0
1.0,2025-01-01 10:13:40,82,0
1.0,2025-01-01 10:13:50,83,0
1.0,2025-01-01 10:14:00,84,0
1.0,2025-01-01 10:14:10,85,0
1.0,2025-01-01 10:14:20,86,0
1.0,2025-01-01 10:14:30,87,0
1.0,2025-01-01 10:14:40,88,1
1.0,2025-01-01 10:14:50,89,0
1.0,2025-01-01 10:15:00,90,0
1.0,2025-01-01 10:15:10,91,0
1.0,2025-01-01 10:15:20,92,0
1.0,2025-01-01 10:15:30,93,0
1.0,2025-01-01 10:15:40,94,1
1.0,2025-01-01 10:15:50,95,0
1.0,2025-01-01 10:16:00,96,0
1.0,2025-01-01 10:16:10,97,0
1.0,2025-01-01 10:16:20,98,0
1.0,2025-01-01 10:16:30,99,0
1.0,2025-01-01 10:16:40,100,0
1.0,2025-01-01 10:16:50,101,1
1.0,2025-01-01 10:17:00,102,1
1.0,2025-01-01 10:17:10,103,0
1.0,2025-01-01 10:17:20,104,0
1.0,2025-01-01 10:17:30,105,0
1.0,2025-01-01 10:17:40,106,1
1.0,2025-01-01 10:17:50,107,0
1.0,2025-01-01 10:18:00,108,0
1.0,2025-01-01 10:18:10,109,1
1.0,2025-01-01 10:18:20,110,1
1.0,2025-01-01 10:18:30,111,0
1.0,2025-01-01 10:18:40,112,0
1.0,2025-01-01 10:18:50,113,0
1.0,2025-01-01 10:19:00,114,0
1.0,2025-01-01 10:19:10,115,0
1.0,2025-01-01 10:19:20,116,0
1.0,2025-01-01 10:19:30,117,0
1.0,2025-01-01 10:19:40,118,1
1.0,2025-01-01 10:19:50,119,0
